Div,Date,Time,HomeTeam,AwayTeam,HG,AG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU,x,y,isOver
IT1,14/01/2023,14:00,Cremonese,Monza,2,3,A,2.86,3.32,2.54,2.05,1.79,0.0216297043238349,-0.0011832885000942464,Over
IT1,14/01/2023,17:00,Lecce,Milan,2,2,D,5.82,3.95,1.61,1.99,1.84,0.008493342401803702,-0.03870346442973894,Over
IT1,14/01/2023,19:45,Inter,Verona,1,0,H,1.29,5.93,9.79,1.51,2.57,-0.04417296028545613,0.024009405750744308,Under
IT1,15/01/2023,11:30,Sassuolo,Lazio,0,2,A,3.19,3.63,2.19,1.78,2.06,0.003552853725540279,-0.020282282729969996,Under
IT1,15/01/2023,14:00,Torino,Spezia,0,1,A,1.65,3.88,5.56,2.03,1.81,0.009867474636247315,0.024267670853023254,Under
IT1,15/01/2023,14:00,Udinese,Bologna,1,2,A,1.97,3.45,4.04,1.96,1.87,0.01346152602216783,0.01261898781997479,Over
IT1,15/01/2023,17:00,Atalanta,Salernitana,8,2,H,1.39,5.1,7.81,1.59,2.37,-0.032384178235577474,0.020837551292276695,Over
IT1,15/01/2023,19:45,Roma,Fiorentina,2,0,H,2,3.51,3.83,2.04,1.79,0.017974791773814874,0.014804381167424236,Under
IT1,16/01/2023,19:45,Empoli,Sampdoria,1,0,H,2.25,3.1,3.58,2.2,1.68,0.026078592512423834,0.014601902171963266,Under
IT1,21/01/2023,14:00,Verona,Lecce,2,0,H,2.41,3.05,3.31,2.35,1.6,0.029182085263377667,0.014731696617898027,Under
IT1,21/01/2023,17:00,Salernitana,Napoli,0,2,A,9.41,5.67,1.31,1.55,2.45,-0.02333069458380744,-0.06299847832664371,Under
IT1,21/01/2023,19:45,Fiorentina,Torino,0,1,A,2.13,3.35,3.61,2.2,1.68,0.024968003588173842,0.01652696589324024,Under
IT1,22/01/2023,11:30,Sampdoria,Udinese,0,1,A,3.58,3.33,2.15,2.15,1.72,0.024233850080951958,-0.007442862686343557,Under
IT1,22/01/2023,14:00,Monza,Sassuolo,1,1,D,2.22,3.41,3.33,1.79,2.05,0.0037336664254520465,-0.0019416456591276078,Under
